a bung
a bàng
a cít
a cít
a di
a du
a dơi
a giao
a ha
a hoàn
a hoành
a hành
a hộ
a lô
a lù
a lưới
a men
a móc
a mrơn
a móc
a ngo
a ngu
a nguỳ
a ngùy
a nguỵ
a ngụy
a phiến
a posteriori
a priori
a rooi
a roàng
a ting
a tiêng
a tùng
a túc
a vao
a vương
a xan
a xing
a xít
a yun
a đảng
a đẩu
a đới
a-di-đà phật
a-lê hấp
a-mi-nô a-xít
a-rập học
a-xê-ti-len lỏng
a-xít a-min
a-xít a-sco-bic
a-xít a-xê-tic
a-xít béo
a-xít clo-hi-đríc
a-xít các-bon-nic
a-xít lác-tíc
a-xít sun-fu-ric
a-xít đường
acid acetic
acid amin
acid béo
acid carbonic
acid chlorhydric
acid nitric
acid sulfuric
ad hoc
ai ai
ai bi
ai cảm
ai dà
ai dè
ai ngờ
ai nấy
ai tử
ai điếu
ai điếu
ai đời
am mây
am pe
am tự
am tự
am váp
am đồng
am-pe giờ
am-pe kế
amino acid
ampe kế
ampere kế
an bang
an biên
an bá
an bình
an bần
an bồi
an châu
an chấn
an cầu
an cựu
an dân
an dũng
an dương
an dạ
an dật
an dục
an giang
an giấc
an hiệp
an hoà
an hòa
an hoá
an hóa
an hà
an hùng
an hưng
an hưởng
an hải
an hảo
an hồng
an hội
an hữu
an khang
an khánh
an khê
an khương
an long
an lâm
an lão
an lĩnh
an lư
an lưu
an lương
an lạc
an lập
an lễ
an lộc
an lục
an minh
an mỹ
an nghĩ
an nghiệp
an nghĩa
an ngãi
an nhiên
an nhàn
an nhơn
an ninh
an nông
an nội
an phong
an phú
an phúc
an phước
an phụ
an quang
an quy
an quý
an sinh
an sơn
an táng
an thai
an thanh
an thuận
an thuỷ
an thủy
an thành
an thái
an thân
an thương
an thượng
an thạch
an thạnh
an thắng
an thịnh
an thọ
an thới
an tiêm
an tiến
an toàn
an toạ
an tọa
an trung
an tràng
an trí
an trường
an trạch
an tân
an tây
an tĩnh
an tường
an tịnh
an tọa
an ủi
an uỷ
